Category,Test Case ID,Test Case Description,PreRequisites,Steps to Perform,Step Expected Result,Test Case Expected Result,Actual Result,Status,Note
3.7 Payment,TC-3.7.1-02,Verify create winning payment session,Winner is authenticated,"1. Send POST /payments
2. Body: {type: 'winning_payment', auctionId: 'valid-auction-uuid', amount: 500000000}",Returns 201 Created with Stripe session URL,Winning payment session created,,New,
3.7 Payment,TC-3.7.1-03,Fail create payment with invalid type,User is authenticated,"1. Send POST /payments
2. Body: {type: 'invalid_type', auctionId: 'valid-auction-uuid'}",Returns 400 Bad Request,Error message indicating invalid payment type,,New,
3.7 Payment,TC-3.7.2-01,Verify payment verification after Stripe success,User completed Stripe payment,"1. Send GET /payments/verify?session_id=valid_stripe_session",Returns 200 OK with completed status,Payment status updated to completed in database,,New,
3.7 Payment,TC-3.7.2-02,Fail verify cancelled Stripe payment,User cancelled Stripe payment,"1. Send GET /payments/verify?session_id=cancelled_session",Returns 400 Bad Request or status failed,Payment marked as failed or cancelled,,New,
3.7 Payment,TC-3.7.2-03,Fail verify with invalid session ID,Invalid session ID provided,"1. Send GET /payments/verify?session_id=invalid_session",Returns 404 Not Found,Error message indicating payment session not found,,New,
3.8 Auction Costs,TC-3.8.1-01,Verify create auction costs,Admin is authenticated; Auction exists,"1. Send POST /auction-costs/auction/:auctionId
2. Body: {advertisingCost: 5000000, venueRentalCost: 10000000, appraisalCost: 3000000}",Returns 201 Created with costs object,Auction costs created successfully with totalCosts calculated,,New,
3.8 Auction Costs,TC-3.8.1-02,Verify update existing auction costs,Admin is authenticated; Costs exist,"1. Send POST /auction-costs/auction/:auctionId
2. Body: {advertisingCost: 7000000}",Returns 200 OK with updated costs,Existing costs updated; totalCosts recalculated,,New,
3.8 Auction Costs,TC-3.8.1-03,Fail Bidder creating auction costs,Bidder is authenticated,"1. Send POST /auction-costs/auction/:auctionId
2. Use Bidder token",Returns 403 Forbidden,Error message indicating admin access required,,New,
3.8 Auction Costs,TC-3.8.2-01,Verify get auction costs,Authenticated user; Costs exist,"1. Send GET /auction-costs/auction/:auctionId",Returns 200 OK with costs,All cost categories including otherCosts array returned,,New,
3.8 Auction Costs,TC-3.8.2-02,Return empty for no costs,Authenticated user; No costs exist,"1. Send GET /auction-costs/auction/:auctionId",Returns 404 Not Found or null,Indication that no costs defined for this auction,,New,
3.8 Auction Costs,TC-3.8.3-01,Verify partial update of costs,Admin is authenticated; Costs exist,"1. Send PATCH /auction-costs/auction/:auctionId
2. Body: {venueRentalCost: 15000000}",Returns 200 OK with updated field,Only specified field updated; others unchanged,,New,
3.8 Auction Costs,TC-3.8.3-02,Fail update with negative cost,Admin is authenticated,"1. Send PATCH /auction-costs/auction/:auctionId
2. Body: {advertisingCost: -5000}",Returns 400 Bad Request,Error message indicating costs cannot be negative,,New,
3.8 Auction Costs,TC-3.8.4-01,Verify Admin deletes auction costs,Admin is authenticated; Costs exist,"1. Send DELETE /auction-costs/auction/:auctionId",Returns 200 OK or 204 No Content,Auction costs deleted successfully,,New,
3.8 Auction Costs,TC-3.8.4-02,Fail Auctioneer deletes auction costs,Auctioneer is authenticated,"1. Send DELETE /auction-costs/auction/:auctionId
2. Use Auctioneer token",Returns 403 Forbidden,Error message indicating only Admin can delete costs,,New,
3.8 Auction Costs,TC-3.8.5-01,Verify add other cost item,Admin is authenticated; Costs exist,"1. Send POST /auction-costs/auction/:auctionId/other-cost
2. Body: {name: 'Security Fee', amount: 2000000, description: 'Security personnel'}",Returns 200 OK with updated otherCosts,New item added to otherCosts JSON array; totalCosts updated,,New,
3.8 Auction Costs,TC-3.8.5-02,Fail add other cost without name,Admin is authenticated,"1. Send POST /auction-costs/auction/:auctionId/other-cost
2. Body: {amount: 2000000}",Returns 400 Bad Request,Error message indicating name is required,,New,
3.9 System Configuration,TC-3.9.1-01,Verify get all system variables,Admin is authenticated,"1. Send GET /system-variables",Returns 200 OK with variable array,All system variables across categories returned,,New,
3.9 System Configuration,TC-3.9.1-02,Fail Bidder accessing system variables,Bidder is authenticated,"1. Send GET /system-variables
2. Use Bidder token",Returns 403 Forbidden,Error message indicating admin access required,,New,
3.9 System Configuration,TC-3.9.2-01,Verify get specific system variable,Admin is authenticated; Variable exists,"1. Send GET /system-variables/deposit/default_percentage",Returns 200 OK with variable value,Specific variable with category; key; value; dataType returned,,New,
3.9 System Configuration,TC-3.9.2-02,Fail get non-existent variable,Admin is authenticated,"1. Send GET /system-variables/invalid/key",Returns 404 Not Found,Error message indicating variable not found,,New,
3.9 System Configuration,TC-3.9.3-01,Verify update system variable,Admin is authenticated; Variable exists,"1. Send PATCH /system-variables/commission/default_rate
2. Body: {value: '0.05'}",Returns 200 OK with updated variable,Variable value updated; updatedBy recorded,,New,
3.9 System Configuration,TC-3.9.3-02,Fail update with wrong data type,Admin is authenticated,"1. Send PATCH /system-variables/deposit/default_percentage
2. Body: {value: 'not-a-number'} for number type variable",Returns 400 Bad Request,Error message indicating value must match dataType,,New,
3.9 System Configuration,TC-3.9.4-01,Verify create new system variable,Admin is authenticated,"1. Send POST /system-variables
2. Body: {category: 'general', key: 'new_setting', value: 'true', dataType: 'boolean'}",Returns 201 Created with new variable,New system variable created successfully,,New,
3.9 System Configuration,TC-3.9.4-02,Fail create duplicate variable,Admin is authenticated; Variable exists,"1. Send POST /system-variables
2. Body: {category: 'deposit', key: 'default_percentage', value: '0.10', dataType: 'number'}",Returns 409 Conflict,Error message indicating variable already exists,,New,
3.9 System Configuration,TC-3.9.5-01,Verify clear cache,Admin is authenticated,"1. Send POST /system-variables/cache/clear",Returns 200 OK,System cache cleared successfully,,New,
3.9 System Configuration,TC-3.9.5-02,Fail Bidder clearing cache,Bidder is authenticated,"1. Send POST /system-variables/cache/clear
2. Use Bidder token",Returns 403 Forbidden,Error message indicating admin access required,,New,
3.9 System Configuration,TC-3.9.6-01,Verify get cache statistics,Admin is authenticated,"1. Send GET /system-variables/cache/stats",Returns 200 OK with statistics,Cache statistics including hit rate; size; entries returned,,New,
3.9 System Configuration,TC-3.9.6-02,Fail Bidder accessing cache stats,Bidder is authenticated,"1. Send GET /system-variables/cache/stats
2. Use Bidder token",Returns 403 Forbidden,Error message indicating admin access required,,New,
3.10 Location,TC-3.10.1-01,Verify get all locations publicly,No authentication required,"1. Send GET /locations",Returns 200 OK with location hierarchy,All provinces; districts; wards returned in hierarchical structure,,New,
3.10 Location,TC-3.10.1-02,Verify location hierarchy structure,No authentication required,"1. Send GET /locations
2. Verify response structure",Locations have parentId relationships,Province → District → Ward hierarchy maintained,,New,
3.11 Article,TC-3.11.1-01,Verify list all articles publicly,No authentication required,"1. Send GET /articles",Returns 200 OK with article array,List of articles with type; title; description; published date returned,,New,
3.11 Article,TC-3.11.1-02,Verify filter articles by type,No authentication required,"1. Send GET /articles?type=auction_notice",Returns 200 OK with filtered results,Only auction_notice type articles returned,,New,
3.11 Article,TC-3.11.2-01,Verify get article details,Valid article ID exists,"1. Send GET /articles/:id",Returns 200 OK with full article,Article with full content; author; images; related articles returned,,New,
3.11 Article,TC-3.11.2-02,Fail get non-existent article,Invalid article ID,"1. Send GET /articles/non-existent-uuid",Returns 404 Not Found,Error message indicating article not found,,New,
3.11 Article,TC-3.11.3-01,Verify Admin creates article,Admin is authenticated,"1. Send POST /articles
2. Body: {type: 'news', title: 'New Auction Announcement', description: 'Summary', content: 'Full content', author: 'Admin'}",Returns 201 Created with article object,Article created successfully with all fields,,New,
3.11 Article,TC-3.11.3-02,Fail Bidder creating article,Bidder is authenticated,"1. Send POST /articles
2. Use Bidder token",Returns 403 Forbidden,Error message indicating admin access required,,New,
3.11 Article,TC-3.11.3-03,Fail create article without required fields,Admin is authenticated,"1. Send POST /articles
2. Body: {title: 'Title only'}",Returns 400 Bad Request,Error message indicating required fields missing,,New,
3.11 Article,TC-3.11.4-01,Verify Admin updates article,Admin is authenticated; Article exists,"1. Send PUT /articles/:id
2. Body: {title: 'Updated Title', content: 'Updated content'}",Returns 200 OK with updated article,Article updated successfully,,New,
3.11 Article,TC-3.11.4-02,Fail update non-existent article,Admin is authenticated,"1. Send PUT /articles/non-existent-uuid
2. Body: {title: 'New Title'}",Returns 404 Not Found,Error message indicating article not found,,New,
3.11 Article,TC-3.11.5-01,Verify update article relations,Admin is authenticated; Article and related articles exist,"1. Send PATCH /articles/:id/relations
2. Body: {relatedArticleIds: ['uuid1', 'uuid2']}",Returns 200 OK,Article relations updated successfully,,New,
3.11 Article,TC-3.11.5-02,Fail update relations with self-reference,Admin is authenticated,"1. Send PATCH /articles/:id/relations
2. Body: {relatedArticleIds: [':id']} (same article ID)",Returns 400 Bad Request,Error message indicating cannot relate article to itself,,New,
3.11 Article,TC-3.11.6-01,Verify Admin deletes article,Admin is authenticated; Article exists,"1. Send DELETE /articles/:id",Returns 200 OK or 204 No Content,Article deleted successfully,,New,
3.11 Article,TC-3.11.6-02,Fail Auctioneer deleting article,Auctioneer is authenticated,"1. Send DELETE /articles/:id
2. Use Auctioneer token",Returns 403 Forbidden,Error message indicating only Admin can delete articles,,New,
4.1 Security Testing - IDOR,TC-4.1.1-01,IDOR: Attempt to access another user's registrations via userId parameter,Bidder A is authenticated; Bidder B exists with registrations,"1. Send GET /register-to-bid/users/:userIdB/registrations
2. Use Bidder A's valid JWT token
3. userIdB belongs to a different user",Returns 403 Forbidden,Access denied - cannot view another user's registrations; Bidder A's token cannot access Bidder B's data,,New,OWASP A01:2021 - Broken Access Control (IDOR)
4.1 Security Testing - IDOR,TC-4.1.1-02,IDOR: Attempt to access another user's specific auction registration,Bidder A is authenticated; Bidder B registered for auction,"1. Send GET /register-to-bid/auctions/:auctionId/registration
2. Use Bidder A's token for auction where only Bidder B is registered
3. Manipulate participantId in query if exposed",Returns 403 Forbidden or returns only Bidder A's own registration,System does not leak Bidder B's registration data to Bidder A,,New,OWASP A01:2021 - Broken Access Control (IDOR)
4.1 Security Testing - BOLA,TC-4.1.2-01,BOLA: Download contract PDF for auction user did not win,"Bidder A is authenticated; Bidder B won auction and has contract; Contract ID is known","1. Send GET /api/contracts/:contractId/pdf/vi
2. Use Bidder A's token
3. contractId belongs to Bidder B's winning contract",Returns 403 Forbidden,Access denied - cannot download contract belonging to another winner,,New,OWASP A01:2021 - Broken Access Control (BOLA)
4.1 Security Testing - BOLA,TC-4.1.2-02,BOLA: Access winner payment requirements for auction user did not win,Bidder A is authenticated; Bidder B is winner of auction,"1. Send GET /auction-finalization/winner-payment-requirements/:auctionId
2. Use Bidder A's token (non-winner)
3. auctionId has Bidder B as winner",Returns 403 Forbidden,Access denied - only the actual winner can access payment requirements,,New,OWASP A01:2021 - Broken Access Control (BOLA)
4.1 Security Testing - Mass Assignment,TC-4.1.3-01,Mass Assignment: Inject isWinningBid field in manual bid request,Bidder is checked-in; Auction is live,"1. Send POST /manual-bid
2. Body: {auctionId: 'uuid'; amount: 100000000; isWinningBid: true}
3. Verify bid is processed but isWinningBid is not accepted",Returns 201 Created but isWinningBid field is ignored,Bid created successfully but isWinningBid is determined by server logic not client input,,New,OWASP A08:2021 - Mass Assignment vulnerability
4.1 Security Testing - Mass Assignment,TC-4.1.3-02,Mass Assignment: Inject role field in profile update,Bidder is authenticated,"1. Send PUT /auth/me
2. Body: {fullName: 'New Name'; role: 'admin'}
3. Verify role is not changed to admin",Returns 200 OK but role field is ignored,Profile updated but role remains 'bidder' - cannot self-promote via mass assignment,,New,OWASP A08:2021 - Mass Assignment vulnerability
4.1 Security Testing - Mass Assignment,TC-4.1.3-03,Mass Assignment: Inject status field in registration submission,Bidder is authenticated; Auction in registration period,"1. Send POST /register-to-bid
2. Body: {auctionId: 'uuid'; confirmedAt: '2024-01-01'; depositPaidAt: '2024-01-01'}
3. Verify confirmation timestamps are ignored",Returns 201 Created but timestamp fields are ignored,Registration created but confirmedAt/depositPaidAt remain null - cannot bypass approval process,,New,OWASP A08:2021 - Mass Assignment vulnerability
4.1 Security Testing - Rate Limiting,TC-4.1.4-01,Rate Limiting: Brute force OTP/verification endpoint,Guest has access to API,"1. Send POST /auth/verify-email 50 times in 60 seconds
2. Use different invalid tokens each request
3. Monitor for rate limiting response",Returns 429 Too Many Requests after threshold,Rate limiting applied - endpoint protected from brute force token enumeration,,New,OWASP A07:2021 - Rate Limiting / Brute Force protection
4.1 Security Testing - Rate Limiting,TC-4.1.4-02,Rate Limiting: Spam bid placement endpoint,Bidder is checked-in; Auction is live,"1. Send POST /manual-bid 100 times in 10 seconds
2. Use incrementing amounts each request
3. Monitor for rate limiting or throttling",Returns 429 or system handles gracefully without performance degradation,Rate limiting applied or system gracefully handles spam without affecting other users,,New,OWASP A04:2021 - Rate Limiting for resource exhaustion prevention
5.1 Non-Functional - Race Conditions,TC-5.1.1-01,Race Condition: Two simultaneous bids with exact same amount,Two bidders (A and B) checked-in; Auction live; Both prepare same bid amount,"1. Prepare two POST /manual-bid requests with identical amount
2. Send both requests exactly simultaneously (within 10ms)
3. Amount = currentHighest + bidIncrement",Only one request returns 201 Created; other returns 400/409,Exactly one bid succeeds; other fails with 'bid amount no longer valid' - no duplicate winning bids,,New,Critical: Database transaction isolation must prevent duplicate bids
5.1 Non-Functional - Race Conditions,TC-5.1.1-02,Race Condition: Bid placed during auction status transition,Bidder checked-in; Auction is exactly at auctionEndAt millisecond,"1. Send POST /manual-bid at exact moment auctionEndAt occurs
2. Time bid to hit server precisely at boundary
3. Monitor response and auction state",Returns 400 Bad Request if auction ended OR 201 if bid processed before cutoff,Consistent behavior - either bid accepted before end or rejected after; no ambiguous state,,New,Critical: Auction end boundary must be deterministic
5.1 Non-Functional - Race Conditions,TC-5.1.1-03,Race Condition: Simultaneous check-in requests from same user,Bidder confirmed; Within check-in window,"1. Send POST /register-to-bid/check-in twice simultaneously
2. Both requests with same auctionId and user token
3. Monitor for duplicate checkedInAt records",Only one request returns 200 OK; other returns 400 already checked in,Only one check-in record created; no duplicate registrations,,New,Idempotency check for check-in operation
5.1 Non-Functional - Double Spend,TC-5.1.2-01,Double Spend: Concurrent deposit payment submissions,Bidder with verified documents; Ready to pay deposit,"1. Send POST /register-to-bid/submit-deposit twice simultaneously
2. Both requests with same auctionId
3. Monitor for duplicate Stripe sessions or payments",Only one payment session created OR second request returns 409,No double payment sessions - user cannot be charged twice for same deposit,,New,Critical: Payment idempotency must prevent double charges
5.1 Non-Functional - Double Spend,TC-5.1.2-02,Double Spend: Concurrent winner payment submissions,Winner authenticated; Ready to pay final amount,"1. Send POST /auction-finalization/submit-winner-payment twice simultaneously
2. Both requests with same auctionId
3. Monitor for duplicate payment records",Only one payment session created; second request blocked,No duplicate winner payment sessions - prevents double charging winner,,New,Critical: Winner payment must be idempotent
5.1 Non-Functional - Double Spend,TC-5.1.2-03,Double Spend: Multiple verify-deposit-payment calls with same session,Bidder completed Stripe payment; Has valid session_id,"1. Send POST /register-to-bid/verify-deposit-payment 5 times rapidly
2. All requests with same sessionId
3. Monitor depositPaidAt and Payment records",First request returns 200 OK; subsequent requests return 200 (idempotent) or 400 already verified,Only one deposit payment record created; subsequent calls are idempotent,,New,Idempotency for payment verification
5.1 Non-Functional - Edge Cases,TC-5.1.3-01,Edge Case: Bid at exact auctionStartAt moment,Bidder checked-in; Auction status about to transition to live,"1. Send POST /manual-bid precisely when auctionStartAt occurs
2. Monitor if bid is accepted or rejected
3. Verify auction status transitions correctly",Returns 201 Created if auction is live OR 400 if not yet live,Consistent boundary handling - bid only accepted when auction is definitely live,,New,Boundary condition for auction start
5.1 Non-Functional - Edge Cases,TC-5.1.3-02,Edge Case: Registration submission at exact depositEndAt deadline,Bidder authenticated; Registration period ending,"1. Send POST /register-to-bid precisely at depositEndAt millisecond
2. Monitor if registration is accepted or rejected
3. Check timestamp comparison logic",Returns 201 if before deadline OR 400 if past deadline,Consistent deadline enforcement - clear accept/reject at boundary,,New,Boundary condition for registration deadline
5.1 Non-Functional - Edge Cases,TC-5.1.3-03,Edge Case: High volume concurrent WebSocket connections,50 bidders ready to join auction room simultaneously,"1. Connect 50 WebSocket clients simultaneously
2. All join same auction room via 'joinAuction'
3. Place one bid and verify all 50 receive 'newBid' event",All 50 clients receive auctionState and newBid events,System handles concurrent WebSocket connections without dropping events or crashing,,New,Stress test for WebSocket gateway scalability
